,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
93,^VNINDEX,2001-03-21,261.11,261.11,261.11,261.11,83750,10.124821654267265,263.47066545593304,244.83133454406692,78.74064474589323,93.58151752648362,48.61035021699017,246.6223333333333,209.0908333333333,31.93000030517578,0.0
94,^VNINDEX,2001-03-23,259.6,259.6,259.6,259.6,134900,9.734140051812602,264.01329671073677,244.75270328926317,77.27875848296135,83.37069122190601,43.317952673183534,248.13166666666666,211.1328333333333,30.450000762939453,0.0
95,^VNINDEX,2001-03-26,260.11,260.11,260.11,260.11,76400,9.357778911270515,264.04443487143806,244.73956512856185,77.42519691661882,86.64315121599627,44.037496842310965,249.53133333333332,213.14183333333332,29.040000915527344,0.0
96,^VNINDEX,2001-03-28,264.7,264.7,264.7,264.7,88900,9.322261271006482,265.02820379715115,244.21079620284888,78.70312014419584,125.18967673015484,50.12827179755482,250.9496666666667,215.20616666666666,28.579999923706055,0.0
97,^VNINDEX,2001-03-30,269.3,269.3,269.3,269.3,44100,9.554998964601737,267.5795044401464,242.97149555985348,79.88370495916882,165.75105948830625,55.33593093206785,252.404,217.30566666666667,28.639999389648438,0.0
98,^VNINDEX,2001-04-02,274.43,274.43,274.43,274.43,139700,10.037529800790935,271.26783168206276,241.50516831793718,81.09288054629641,205.97104945717743,60.28036520260458,253.94,219.449,31.209999084472656,0.0
99,^VNINDEX,2001-04-04,279.56,279.56,279.56,279.56,56510,10.710278944350819,275.6106060436134,240.2203939563866,82.19973639513316,239.04345521992585,64.48331706279238,255.50266666666667,221.63216666666668,34.06999969482422,0.0
100,^VNINDEX,2001-04-06,284.69,284.69,284.69,284.69,32610,11.52440262258608,280.3036634150857,239.39733658491434,83.21617222885483,255.81682785897445,68.09247571564079,257.09333333333336,223.85500000000002,31.690000534057617,0.0
101,^VNINDEX,2001-04-09,289.82,289.82,289.82,289.82,146700,12.440021235498477,285.493630769431,238.51436923056903,84.15231608399152,261.03177666280726,71.21887885762112,258.70866666666666,226.11733333333333,31.90999984741211,0.0
102,^VNINDEX,2001-04-11,295.09,295.09,295.09,295.09,98460,13.43589800640325,291.35409452721893,237.04090547278105,85.03911541369988,255.64195653240392,74.01485790245387,260.3516666666667,228.4215,28.459999084472656,0.0
103,^VNINDEX,2001-04-16,306.16,306.16,306.16,306.16,43800,15.601451625213144,304.287197162814,233.958802837186,86.68715280351299,222.67938800429664,78.80524945426937,263.72933333333333,233.16416666666663,26.329999923706055,0.0
104,^VNINDEX,2001-04-18,311.96,311.96,311.96,311.96,61000,16.762262607426635,311.23808103111867,232.83991896888142,87.44862108831308,209.25725069795428,80.8456069981132,265.46366666666665,235.60183333333333,24.1299991607666,0.0
105,^VNINDEX,2001-04-20,317.76,317.76,317.76,317.76,123200,17.943286149853122,318.2129808027893,232.56801919721067,88.14980146852486,197.328528340319,82.63280005589164,267.384,238.13916666666668,25.3799991607666,0.0
106,^VNINDEX,2001-04-23,313.74,313.74,313.74,313.74,321600,18.343473688212555,322.7271353804665,234.62286461953354,84.75492049629396,158.3973955301025,70.82379785550215,269.30266666666665,240.59866666666667,28.15999984741211,0.0
107,^VNINDEX,2001-04-25,315.27,315.27,315.27,315.27,417300,18.56999292460347,326.95408223370697,236.66191776629302,84.98263236165543,144.5846142352056,71.57164900994626,271.4046666666666,243.09316666666666,27.399999618530273,0.0
108,^VNINDEX,2001-04-27,321.07,321.07,321.07,321.07,49600,18.998441941454416,331.7287169122537,238.39528308774632,85.81360700822893,145.7733171302437,74.2466301964095,273.80766666666665,245.63216666666668,24.020000457763672,0.0
109,^VNINDEX,2001-05-02,327.13,327.13,327.13,327.13,43770,19.600958533233666,336.9276667972495,240.1393332027505,86.61419025218707,146.94702657090386,76.69576270764755,276.51233333333334,248.21983333333336,24.229999542236328,0.0
110,^VNINDEX,2001-05-04,332.0,332.0,332.0,332.0,115100,20.238075610354144,342.1401682959954,242.27483170400458,87.21404654956406,145.02710684062055,78.45582530622349,279.35400000000004,250.8365,23.90999984741211,0.0
111,^VNINDEX,2001-05-07,338.35,338.35,338.35,338.35,64500,21.013092926192996,347.7137930303771,244.50720696962296,87.94285765782233,146.0562004990779,80.50775955539142,282.2583333333333,253.50683333333333,24.860000610351562,0.0
112,^VNINDEX,2001-05-09,344.47,344.47,344.47,344.47,160930,21.86897884955323,353.4216751423505,247.13532485764947,88.59122599119753,146.18153587286304,82.24950776263546,285.2203333333333,256.227,24.350000381469727,0.0
113,^VNINDEX,2001-05-11,351.06,351.06,351.06,351.06,25600,22.815962867016538,358.9872161118923,250.71578388810772,89.23600115328776,147.13935556109655,83.9049486144254,288.509,258.9123333333333,23.540000915527344,0.0
114,^VNINDEX,2001-05-14,357.65,357.65,357.65,357.65,60350,23.823532431445756,364.4640115268442,254.9929884731559,89.83055323735097,147.77928290797138,85.36405736438103,291.976,261.7985,24.260000228881836,0.0
115,^VNINDEX,2001-05-16,364.27,364.27,364.27,364.27,25100,24.869483936798133,370.30402229815087,259.1099777018491,90.38259267516747,148.73911023431705,86.66245431016254,295.76066666666674,264.7426666666667,21.889999389648438,0.0
116,^VNINDEX,2001-05-18,370.9,370.9,370.9,370.9,56200,25.93438845507353,376.47101207803837,263.1029879219617,90.89468308182919,149.78302042594748,87.81930689839469,299.85566666666665,267.7391666666667,21.229999542236328,0.0
117,^VNINDEX,2001-05-21,377.43,377.43,377.43,377.43,52100,26.994033417571757,382.96988508750013,266.9041149124999,91.36324003741774,150.13787344274596,88.83856782471162,304.0163333333333,270.7821666666667,20.760000228881836,0.0
118,^VNINDEX,2001-05-23,384.16,384.16,384.16,384.16,230100,28.0534383864823,389.8121937799911,270.52180622000895,91.81244710574663,150.87063439983575,89.7806766943296,308.28866666666664,273.87516666666664,22.079999923706055,0.0
119,^VNINDEX,2001-05-25,390.88,390.88,390.88,390.88,83500,29.099787720498853,396.95384448773154,273.99915551226843,92.22989300254378,151.68665812662545,90.6252882087528,312.728,277.01783333333333,20.600000381469727,0.0
120,^VNINDEX,2001-05-30,404.26,404.26,404.26,404.26,14300,31.10821819985307,411.9555693641495,280.68243063585055,92.97995490704582,148.73670931481763,92.06902121852181,322.1596666666666,283.54850000000005,22.760000228881836,0.0
121,^VNINDEX,2001-06-01,411.03,411.03,411.03,411.03,16310,32.071104382916815,419.7946546146741,283.91034538532585,93.32298370590854,146.90875588305863,92.69736030819202,327.15700000000004,286.8896666666667,21.59000015258789,0.0
